n:1 mse_avg:4460.68 mse_y:6287.43 mse_u:1377.19 mse_v:237.17 psnr_avg:11.64 psnr_y:10.15 psnr_u:16.74 psnr_v:24.38 
n:2 mse_avg:0.05 mse_y:0.06 mse_u:0.04 mse_v:0.04 psnr_avg:60.77 psnr_y:60.34 psnr_u:61.86 psnr_v:61.74 
n:3 mse_avg:0.05 mse_y:0.06 mse_u:0.04 mse_v:0.04 psnr_avg:60.79 psnr_y:60.36 psnr_u:61.89 psnr_v:61.74 
n:4 mse_avg:0.05 mse_y:0.06 mse_u:0.04 mse_v:0.04 psnr_avg:60.77 psnr_y:60.33 psnr_u:61.90 psnr_v:61.77 
n:5 mse_avg:0.05 mse_y:0.06 mse_u:0.04 mse_v:0.04 psnr_avg:60.76 psnr_y:60.32 psnr_u:61.88 psnr_v:61.78 
n:6 mse_avg:0.05 mse_y:0.06 mse_u:0.04 mse_v:0.04 psnr_avg:60.79 psnr_y:60.35 psnr_u:61.90 psnr_v:61.76 
n:7 mse_avg:0.05 mse_y:0.06 mse_u:0.04 mse_v:0.04 psnr_avg:60.80 psnr_y:60.36 psnr_u:61.88 psnr_v:61.79 
n:8 mse_avg:0.05 mse_y:0.06 mse_u:0.04 mse_v:0.04 psnr_avg:60.74 psnr_y:60.29 psnr_u:61.90 psnr_v:61.75 
n:9 mse_avg:0.06 mse_y:0.06 mse_u:0.04 mse_v:0.04 psnr_avg:60.70 psnr_y:60.25 psnr_u:61.79 psnr_v:61.74 
n:10 mse_avg:0.06 mse_y:0.06 mse_u:0.04 mse_v:0.04 psnr_avg:60.70 psnr_y:60.25 psnr_u:61.85 psnr_v:61.71 
n:11 mse_avg:0.06 mse_y:0.06 mse_u:0.04 mse_v:0.04 psnr_avg:60.59 psnr_y:60.12 psnr_u:61.77 psnr_v:61.64 
n:12 mse_avg:0.06 mse_y:0.07 mse_u:0.04 mse_v:0.05 psnr_avg:60.45 psnr_y:59.98 psnr_u:61.69 psnr_v:61.47 
n:13 mse_avg:0.06 mse_y:0.06 mse_u:0.04 mse_v:0.05 psnr_avg:60.55 psnr_y:60.11 psnr_u:61.67 psnr_v:61.55 
n:14 mse_avg:0.06 mse_y:0.06 mse_u:0.04 mse_v:0.05 psnr_avg:60.57 psnr_y:60.13 psnr_u:61.71 psnr_v:61.54 
n:15 mse_avg:0.06 mse_y:0.06 mse_u:0.05 mse_v:0.05 psnr_avg:60.49 psnr_y:60.07 psnr_u:61.50 psnr_v:61.41 
n:16 mse_avg:0.20 mse_y:0.26 mse_u:0.09 mse_v:0.06 psnr_avg:55.11 psnr_y:53.95 psnr_u:58.38 psnr_v:60.26 
n:17 mse_avg:0.47 mse_y:0.64 mse_u:0.14 mse_v:0.07 psnr_avg:51.45 psnr_y:50.04 psnr_u:56.64 psnr_v:59.62 
n:18 mse_avg:0.97 mse_y:1.35 mse_u:0.28 mse_v:0.17 psnr_avg:48.25 psnr_y:46.84 psnr_u:53.65 psnr_v:55.72 
n:19 mse_avg:2.27 mse_y:3.28 mse_u:0.30 mse_v:0.21 psnr_avg:44.56 psnr_y:42.97 psnr_u:53.40 psnr_v:54.81 
n:20 mse_avg:3.48 mse_y:5.07 mse_u:0.33 mse_v:0.26 psnr_avg:42.71 psnr_y:41.08 psnr_u:52.94 psnr_v:53.94 
n:21 mse_avg:5.26 mse_y:7.73 mse_u:0.35 mse_v:0.28 psnr_avg:40.92 psnr_y:39.25 psnr_u:52.66 psnr_v:53.67 
n:22 mse_avg:6.34 mse_y:9.34 mse_u:0.37 mse_v:0.31 psnr_avg:40.11 psnr_y:38.43 psnr_u:52.47 psnr_v:53.22 
n:23 mse_avg:7.34 mse_y:10.83 mse_u:0.40 mse_v:0.33 psnr_avg:39.47 psnr_y:37.79 psnr_u:52.13 psnr_v:52.92 
n:24 mse_avg:8.94 mse_y:13.22 mse_u:0.43 mse_v:0.34 psnr_avg:38.62 psnr_y:36.92 psnr_u:51.77 psnr_v:52.76 
n:25 mse_avg:11.97 mse_y:17.70 mse_u:0.58 mse_v:0.42 psnr_avg:37.35 psnr_y:35.65 psnr_u:50.47 psnr_v:51.89 
n:26 mse_avg:13.80 mse_y:20.41 mse_u:0.66 mse_v:0.48 psnr_avg:36.73 psnr_y:35.03 psnr_u:49.93 psnr_v:51.28 
n:27 mse_avg:14.98 mse_y:22.16 mse_u:0.72 mse_v:0.53 psnr_avg:36.37 psnr_y:34.67 psnr_u:49.57 psnr_v:50.92 
n:28 mse_avg:16.11 mse_y:23.82 mse_u:0.82 mse_v:0.57 psnr_avg:36.06 psnr_y:34.36 psnr_u:49.02 psnr_v:50.59 
n:29 mse_avg:17.03 mse_y:25.18 mse_u:0.86 mse_v:0.61 psnr_avg:35.82 psnr_y:34.12 psnr_u:48.79 psnr_v:50.29 
n:30 mse_avg:17.92 mse_y:26.49 mse_u:0.93 mse_v:0.62 psnr_avg:35.60 psnr_y:33.90 psnr_u:48.43 psnr_v:50.23 
n:31 mse_avg:19.09 mse_y:28.20 mse_u:1.07 mse_v:0.68 psnr_avg:35.32 psnr_y:33.63 psnr_u:47.85 psnr_v:49.84 
n:32 mse_avg:20.07 mse_y:29.62 mse_u:1.19 mse_v:0.72 psnr_avg:35.11 psnr_y:33.41 psnr_u:47.37 psnr_v:49.55 
n:33 mse_avg:20.43 mse_y:30.11 mse_u:1.34 mse_v:0.79 psnr_avg:35.03 psnr_y:33.34 psnr_u:46.85 psnr_v:49.14 
n:34 mse_avg:20.53 mse_y:30.17 mse_u:1.57 mse_v:0.89 psnr_avg:35.01 psnr_y:33.33 psnr_u:46.17 psnr_v:48.66 
n:35 mse_avg:20.71 mse_y:30.35 mse_u:1.84 mse_v:1.01 psnr_avg:34.97 psnr_y:33.31 psnr_u:45.47 psnr_v:48.07 
n:36 mse_avg:20.84 mse_y:30.52 mse_u:1.92 mse_v:1.04 psnr_avg:34.94 psnr_y:33.29 psnr_u:45.30 psnr_v:47.96 
n:37 mse_avg:21.41 mse_y:31.36 mse_u:1.99 mse_v:1.04 psnr_avg:34.82 psnr_y:33.17 psnr_u:45.15 psnr_v:47.98 
n:38 mse_avg:21.25 mse_y:31.15 mse_u:1.87 mse_v:1.00 psnr_avg:34.86 psnr_y:33.20 psnr_u:45.42 psnr_v:48.15 
n:39 mse_avg:20.67 mse_y:30.32 mse_u:1.82 mse_v:0.94 psnr_avg:34.98 psnr_y:33.31 psnr_u:45.53 psnr_v:48.41 
n:40 mse_avg:20.06 mse_y:29.42 mse_u:1.81 mse_v:0.91 psnr_avg:35.11 psnr_y:33.44 psnr_u:45.56 psnr_v:48.55 
n:41 mse_avg:19.82 mse_y:29.07 mse_u:1.73 mse_v:0.90 psnr_avg:35.16 psnr_y:33.50 psnr_u:45.75 psnr_v:48.58 
n:42 mse_avg:20.11 mse_y:29.49 mse_u:1.78 mse_v:0.93 psnr_avg:35.10 psnr_y:33.43 psnr_u:45.63 psnr_v:48.45 
n:43 mse_avg:20.43 mse_y:29.97 mse_u:1.73 mse_v:0.93 psnr_avg:35.03 psnr_y:33.36 psnr_u:45.76 psnr_v:48.44 
n:44 mse_avg:21.62 mse_y:31.73 mse_u:1.79 mse_v:0.97 psnr_avg:34.78 psnr_y:33.12 psnr_u:45.59 psnr_v:48.27 
n:45 mse_avg:22.71 mse_y:33.36 mse_u:1.83 mse_v:0.98 psnr_avg:34.57 psnr_y:32.90 psnr_u:45.51 psnr_v:48.22 
